lw: 	1,485,011,859
addi: 	1,186,259,597
sw: 	892,896,153
ori: 	796,028,374
lui: 	796,028,374
flw: 	595,613,379
jalr: 	409,561,868
add: 	397,529,284
mul: 	397,512,388
jal: 	319,160,131
beq: 	311,996,772
fsw: 	289,866,488
fsub: 	170,157,324
fadd: 	131,933,776
fmul: 	117,804,499
fle: 	91,087,406
feq: 	11,192,176
ble: 	7,957,833
sub: 	3,974,486
fsqrt: 	2,197,823
fdiv: 	1,517,920
div: 	2
.word: 	0
EXIT: 	0
bge: 	0
slt: 	0
